	Neutrophils	Monocytes	Lymphocytes	Basophils.Eosinophils
D0006-20	0.6187219	0.11139581	0.21801148	0.051870823
D0008-14	0.5526733	0.09774675	0.29186773	0.057712257
D0055-67	0.5390342	0.08091102	0.3374771	0.042577695
D0065-37	0.5464588	0.08406883	0.31708327	0.05238908
D0100-29	0.527764	0.09085829	0.32021117	0.061166584
D0106-11	0.49402347	0.07292431	0.39067516	0.04237703
D0108-05	0.6749561	0.102472454	0.16465418	0.05791724
D0124-54	0.48490715	0.080536924	0.39291108	0.041644823
D0131-33	0.53172857	0.09767419	0.31950113	0.05109608
D0135-21	0.5487887	0.08818672	0.31237504	0.050649527
D0137-15	0.4760685	0.08543315	0.38965383	0.048844498
D0159-46	0.5292938	0.09561541	0.3278386	0.04725224
D0162-37	0.48881269	0.09344707	0.38045037	0.037289884
D0164-31	0.67082334	0.0884844	0.19228928	0.048402935
D0175-95	0.50001353	0.08578611	0.37495396	0.039246436
D0190-50	0.51008266	0.08630318	0.3603368	0.043277305
D0195-35	0.3967019	0.06104903	0.5032298	0.039019253
D0200-20	0.46092126	0.06988504	0.42855135	0.040642347
D0202-14	0.50106734	0.07485488	0.38343152	0.040646274
D0204-08	0.53050387	0.09492594	0.32422283	0.050347384
D0218-63	0.5141687	0.07513397	0.36187807	0.04881926
D0223-48	0.4663339	0.08059836	0.40266895	0.050398726
D0244-82	0.41300106	0.06457009	0.4859424	0.036486417
D0245-79	0.54154116	0.069114506	0.3441563	0.045188006
D0249-67	0.521831	0.07736334	0.3537431	0.047062576
D0256-46	0.5695031	0.115033954	0.23634581	0.07911713
D0257-43	0.6069612	0.08112716	0.26227424	0.04963741
D0268-10	0.45886612	0.07426614	0.4245522	0.04231553
D0289-44	0.52904207	0.083322845	0.34092334	0.046711776
D0294-29	0.5051504	0.089111574	0.353953	0.05178508
D0299-14	0.45166945	0.07764742	0.43009004	0.040593117
D0305-93	0.52882963	0.09832279	0.32653144	0.0463161
D0306-90	0.5716054	0.08544583	0.28972256	0.053226266
D0309-81	0.43563592	0.07393623	0.44828674	0.04214117
D0320-48	0.52784234	0.07326936	0.3548993	0.043988984
D0325-33	0.4404265	0.07482923	0.44368878	0.04105546
D0338-91	0.49925032	0.07413275	0.39022636	0.036390558
D0351-52	0.53251034	0.07453361	0.35708985	0.035866212
D0410-69	0.52997166	0.07346189	0.35506603	0.04150046
D0414-57	0.45851406	0.0753628	0.41290835	0.05321483
D0424-27	0.5861078	0.08135592	0.28555048	0.046985835
D0425-24	0.5269649	0.07776403	0.34820542	0.047065675
D0430-09	0.5108303	0.08760355	0.35925367	0.042312503
D0444-64	0.53697914	0.07800587	0.33470616	0.050308842
D0446-58	0.56411177	0.104130335	0.27260098	0.059156965
D0448-52	0.5357141	0.07366905	0.34356275	0.0470541
D0449-49	0.56416434	0.08107231	0.31336814	0.041395206
D0452-40	0.5413723	0.084288515	0.32435942	0.049979795
D0454-34	0.5528666	0.09132413	0.30123228	0.05457698
D0478-59	0.4738538	0.090447836	0.39499775	0.04070069
D0480-53	0.5733642	0.10068769	0.2700347	0.05591345
D0481-50	0.52304107	0.084538855	0.3399656	0.052454412
D0484-41	0.5329023	0.07933291	0.33629146	0.05147333
D0489-26	0.60522753	0.08229879	0.2702385	0.04223512
D0500-90	0.5461543	0.07281501	0.33309892	0.047931712
D0501-87	0.5608662	0.079023354	0.3152484	0.04486206
D0512-54	0.54969865	0.08774039	0.3175198	0.045041155
D0516-42	0.5351555	0.10617926	0.29462722	0.064038046
D0521-27	0.56620723	0.076630384	0.31667256	0.040489834
D0528-06	0.48372912	0.07880954	0.3991576	0.038303703
D0533-88	0.5437756	0.08498957	0.32306197	0.04817282
D0540-67	0.559141	0.10965373	0.27533165	0.05587356
D0558-13	0.5095194	0.07490374	0.36988416	0.045692686
D0564-92	0.5579419	0.078997485	0.31670457	0.04635604
D0569-77	0.583414	0.0964224	0.26381016	0.056353424
D0572-68	0.68187743	0.08710801	0.1978336	0.03318098
D0579-47	0.57596326	0.08957673	0.280422	0.05403803
D0585-29	0.63103503	0.0927507	0.21920507	0.05700921
D0588-20	0.7839753	0.071368665	0.107725106	0.036930893
D0591-11	0.5972406	0.07563528	0.2905184	0.036605652
D0592-08	0.54414856	0.12416753	0.25815508	0.07352883
D0594-02	0.53119785	0.08722872	0.32257816	0.058995288
D0597-90	0.54853874	0.107234456	0.27644908	0.06777761
D0606-63	0.58544046	0.085263856	0.27353498	0.05576068
D0607-60	0.6632266	0.09178614	0.19600588	0.048981387
D0619-24	0.4054133	0.07406894	0.4825938	0.03792392
D0622-15	0.42906794	0.06984187	0.4631293	0.037960906
D0624-09	0.50481576	0.081746794	0.38535166	0.028085805
D0625-06	0.48673093	0.09610327	0.37274054	0.044425193
D0626-03	0.47800457	0.08538935	0.3867868	0.049819212
D0631-85	0.5785081	0.08351052	0.2957935	0.0421879
D0632-82	0.48689482	0.083701156	0.38689616	0.042507857
D0639-61	0.55868	0.08273497	0.31423482	0.044350207
D0646-40	0.49543	0.08024785	0.37959313	0.044729054
D0648-34	0.51773435	0.08498689	0.3522893	0.044989455
D0650-28	0.510885	0.089347996	0.35477412	0.044992853
D0652-22	0.48008803	0.07412008	0.40998128	0.035810646
D0654-16	0.49098262	0.09016937	0.36172643	0.057121594
D0657-07	0.530747	0.077773996	0.35077655	0.040702473
D0663-86	0.5308921	0.079147354	0.34521854	0.04474202
D0665-80	0.46035329	0.07977219	0.40938556	0.05048899
D0668-71	0.46733916	0.068635605	0.42442653	0.03959872
D0674-53	0.42756405	0.0704991	0.45823035	0.043706447
D0676-47	0.5103801	0.07816788	0.3674929	0.043959096
D0694-90	0.4510809	0.068346076	0.43599597	0.04457705
D0709-45	0.40703157	0.07206214	0.46401688	0.056889366
D0712-36	0.46986017	0.08139529	0.40145048	0.04729414
D0719-15	0.57028633	0.11310529	0.26704568	0.04956272
D0724-00	0.5016988	0.09364181	0.35946152	0.04519785
D0726-91	0.5922803	0.07691317	0.28535545	0.045451093
D0731-76	0.61882585	0.08666251	0.2504251	0.044086482
D0734-67	0.5733254	0.12325317	0.25355947	0.049861997
D0750-19	0.50000364	0.08007518	0.37018773	0.04973347
D0754-07	0.5410159	0.095448874	0.31943122	0.04410402
D0764-74	0.52450997	0.08402457	0.33745673	0.054008693
D0798-69	0.4860734	0.072785474	0.38775706	0.053384054
D0801-60	0.5326593	0.07835203	0.33658573	0.052402943
D0817-12	0.57694477	0.08597907	0.26941875	0.06765743
D0821-00	0.49855807	0.09677867	0.3344164	0.07024685
D0827-79	0.52041894	0.09356593	0.3268324	0.059182674
D0833-61	0.49239096	0.07573151	0.38610744	0.045770142
D0838-46	0.5347078	0.07879286	0.33463702	0.051862355
D0840-40	0.59646565	0.08523192	0.26860747	0.0496949
D0865-62	0.61756486	0.08955733	0.2341034	0.05877444
D0867-56	0.5486004	0.09045458	0.29940435	0.061540667
D0868-53	0.5106004	0.11251644	0.30763677	0.069246426
D0892-78	0.55364424	0.085285895	0.30511278	0.055957127
D0894-72	0.44879374	0.078754015	0.42142272	0.05102955
D0901-51	0.5171929	0.086653	0.32214245	0.07401163
D0911-21	0.5190262	0.08611902	0.35121918	0.043635562
D0912-18	0.5110107	0.07696156	0.36090088	0.051126864
D0921-88	0.5341611	0.07617984	0.34421292	0.045446187
D0923-82	0.55628884	0.08342411	0.31112292	0.049164068
D0925-76	0.6783986	0.065506436	0.22622608	0.029868824
D0929-64	0.6055952	0.1097332	0.22172384	0.06294771
D0930-61	0.6121492	0.08300295	0.25811717	0.0467307
D0937-40	0.5289907	0.075685225	0.3498651	0.04545899
D0940-31	0.49135947	0.09327415	0.35666254	0.058703795
D0943-22	0.4533987	0.06840747	0.43059674	0.047597066
D0948-07	0.52540904	0.06539724	0.3657299	0.043463852
D0978-14	0.59423476	0.06835827	0.30399725	0.033409722
D0991-72	0.4291403	0.073040135	0.44961795	0.048201706
D1001-42	0.6659742	0.08309601	0.20454526	0.046384502
D1020-82	0.60308415	0.09629166	0.24265443	0.057969783
D1024-70	0.47514832	0.088953406	0.3699336	0.065964706
D1027-61	0.5706983	0.0988247	0.2804731	0.050003886
D1035-37	0.5221939	0.09846562	0.33204427	0.047296196
D1038-28	0.562192	0.07435325	0.32518867	0.038266044
D1045-07	0.5404055	0.09843814	0.29187846	0.069277935
D1050-89	0.5493313	0.08216547	0.3212091	0.0472941
D1055-74	0.5836265	0.13566083	0.23381937	0.046893325
D1073-20	0.515309	0.0764795	0.34832397	0.05988756
D1087-75	0.5090364	0.06619072	0.393425	0.03134786
D1095-51	0.44352224	0.071551256	0.4482566	0.036669906
D1096-48	0.50878674	0.08864033	0.35181996	0.05075301
D1097-45	0.5377961	0.08609068	0.33644184	0.039671466
D1104-24	0.54856336	0.094551824	0.3067623	0.050122578
D1115-88	0.5821736	0.084054016	0.29440546	0.03936695
D1117-82	0.5604046	0.10392091	0.2967045	0.038969968
D1125-58	0.67085505	0.08068726	0.20601939	0.042438332
D1132-37	0.547985	0.10308009	0.3090353	0.03989956
D1136-25	0.4483725	0.07398173	0.43624783	0.041397914
D1140-13	0.58599734	0.08406565	0.2930775	0.036859527
D1142-07	0.49872723	0.08448205	0.3700881	0.046702594
D1146-92	0.48262486	0.08336991	0.3932743	0.040730927
D1151-77	0.5086272	0.06804327	0.3830967	0.040232807
D1154-68	0.4389027	0.08372799	0.43654275	0.040826585
D1165-35	0.55295163	0.08677709	0.3183321	0.041939158
D1179-90	0.52308434	0.10624486	0.31845948	0.05221134
D1187-66	0.51204085	0.0849785	0.35563132	0.047349382
D1191-54	0.4631318	0.09008024	0.39362344	0.05316454
D1192-51	0.50028056	0.065679744	0.40038005	0.03365967
D1196-39	0.43343163	0.07840782	0.44204614	0.0461144
D1197-36	0.607769	0.08026651	0.27743337	0.034531094
D1199-30	0.4821953	0.0816158	0.39059165	0.04559725
D1204-15	0.5133961	0.11164853	0.32818064	0.046774715
D1206-09	0.43465444	0.08877974	0.41203222	0.064533666
D1208-03	0.4488198	0.10740385	0.38581848	0.057957843
D1210-94	0.5581604	0.08090605	0.31679413	0.04413945
D1220-64	0.5047007	0.085767634	0.3693479	0.040183682
D1222-58	0.4297793	0.07411591	0.4491848	0.04692002
D1223-55	0.48946652	0.10653762	0.35917044	0.04482545
D1228-40	0.5320103	0.08428162	0.343743	0.039965004
D1230-34	0.46223974	0.08397016	0.40381458	0.04997547
D1231-31	0.4409465	0.06767664	0.45285693	0.03851989
D1233-25	0.44475803	0.08675092	0.42324972	0.0452413
D1237-13	0.46151412	0.080226414	0.4100108	0.04824865
D1239-07	0.4735962	0.07346945	0.41053402	0.04240036
D1249-74	0.49898782	0.07907394	0.3753512	0.046587065
D1261-38	0.4825683	0.08897436	0.38570413	0.0427532
D1263-32	0.49583742	0.08058214	0.38627043	0.037310034
D1267-20	0.48570135	0.09179864	0.36858377	0.053916197
D1268-17	0.47303557	0.08498188	0.39674258	0.045239974
